"eco_id","eco_name"
842,"South Sahara desert"
738,"South Siberian forest steppe"
269,"South Taiwan monsoon rain forests"
132,"South Victoria Land tundra"
270,"South Western Ghats moist deciduous forests"
271,"South Western Ghats montane rain forests"
176,"Southeast Australia temperate forests"
192,"Southeast Australia temperate savanna"
765,"Southeast Tibet shrublands and meadows"
400,"Southeast US mixed woodlands and savannas"
399,"Southeast US conifer savannas"
803,"Southeast Iberian shrubs and woodlands"
299,"Southeast Indochina dry evergreen forests"
153,"Southeast Papuan rain forests"
57,"Southern Acacia-Commiphora bushlands and thickets"
116,"Southern Africa mangroves"
804,"Southern Anatolian montane conifer and deciduous forests"
595,"Southern Andean steppe"
504,"Southern Andean Yungas"
272,"Southern Annamites montane rain forests"
616,"Southern Atlantic Brazilian mangroves"
586,"Southern Cone Mesopotamian savanna"
58,"Southern Congolian forest-savanna"
342,"Southern Great Lakes forests"
382,"Southern Hudson Bay taiga"
133,"Southern Indian Ocean Islands tundra"
681,"Southern Korea evergreen forests"
617,"Southern Mesoamerican Pacific mangroves"
154,"Southern New Guinea freshwater swamp forests"
155,"Southern New Guinea lowland rain forests"
547,"Southern Pacific dry forests"
87,"Southern Rift Montane forest-grassland"
28,"Southern Swahili coastal forests and woodlands"
300,"Southern Vietnam lowland dry forests"
505,"Southwest Amazon moist forests"
108,"Southwest Arabian Escarpment shrublands and woodlands"
109,"Southwest Arabian highland xeric scrub"
205,"Southwest Australia savanna"
206,"Southwest Australia woodlands"
273,"Southwest Borneo freshwater swamp forests"
805,"Southwest Iberian Mediterranean sclerophyllous and mixed forests"
301,"Sri Lanka dry-zone dry evergreen forests"
274,"Sri Lanka lowland rain forests"
275,"Sri Lanka montane rain forests"
609,"St. Peter and St. Paul Rocks"
110,"Succulent Karoo xeric shrublands"
74,"Sudd flooded grasslands"
746,"Suiphun-Khanka meadows and forest meadows"
766,"Sulaiman Range alpine meadows"
157,"Sulawesi montane rain forests"
276,"Sulu Archipelago rain forests"
277,"Sumatran freshwater swamp forests"
278,"Sumatran lowland rain forests"
279,"Sumatran montane rain forests"
280,"Sumatran peat swamp forests"
305,"Sumatran tropical pine forests"
165,"Sumba deciduous forests"
322,"Sunda Shelf mangroves"
281,"Sundaland heath forests"
282,"Sundarbans freshwater swamp forests"
323,"Sundarbans mangroves"
739,"Syrian xeric grasslands and shrublands"
682,"Taiheiyo evergreen forests"
683,"Taiheiyo montane deciduous forests"
781,"Taimyr-Central Siberian tundra"
